name,available,active_power_flow,reactive_power_flow,arc,r,x,b,rating,angle_limits,g
C2,true,0.0,0.0,"Arc(ACBus(301, Cabell, true, ACBusTypes.PV = 2, -0.1631570436678591, 1.0486, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(31.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(303, Caesar, true, ACBusTypes.PQ = 1, -0.14969497008137647, 1.01045, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(31.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()))",0.055,0.211,"(from = 0.0285, to = 0.0285)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B25-1,true,0.0,0.0,"Arc(ACBus(215, Barton, true, ACBusTypes.PV = 2, 0.08087000542408246, 1.04327, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(26.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(221, Behring, true, ACBusTypes.PV = 2, 0.1855649768683639, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(27.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.049,"(from = 0.0515, to = 0.0515)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A9,true,0.0,0.0,"Arc(ACBus(105, Aiken, true, ACBusTypes.PQ = 1, -0.18690504066804514, 1.03568, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(11.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(110, Allen, true, ACBusTypes.PQ = 1, -0.18536496213608536, 1.05, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(13.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.023,0.088,"(from = 0.012, to = 0.012)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C11,true,0.0,0.0,"Arc(ACBus(307, Carew, true, ACBusTypes.PV = 2, -0.21900304187562247, 1.03804, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(308, Carrel, true, ACBusTypes.PQ = 1, -0.26499107140227146, 1.01056, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()))",0.016,0.061,"(from = 0.0085, to = 0.0085)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C19,true,0.0,0.0,"Arc(ACBus(311, Cary, true, ACBusTypes.PQ = 1, -0.10019394183631328, 1.0283, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(314, Chain, true, ACBusTypes.PV = 2, -0.0559889406735017, 1.04631, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.042,"(from = 0.044, to = 0.044)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C23,true,0.0,0.0,"Arc(ACBus(314, Chain, true, ACBusTypes.PV = 2, -0.0559889406735017, 1.04631, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(316, Chifa, true, ACBusTypes.PV = 2, 0.11516991401597582, 1.04558, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.059,"(from = 0.041, to = 0.041)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C25-1,true,0.0,0.0,"Arc(ACBus(315, Chase, true, ACBusTypes.PV = 2, 0.12306107116301779, 1.043, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(321, Cobb, true, ACBusTypes.PV = 2, 0.21539492271297458, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.049,"(from = 0.0515, to = 0.0515)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C32-2,true,0.0,0.0,"Arc(ACBus(319, Clay, true, ACBusTypes.PQ = 1, 0.10324303203954738, 1.03953, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(320, Clive, true, ACBusTypes.PQ = 1, 0.1256129170623587, 1.04389, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.04,"(from = 0.0415, to = 0.0415)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B20,true,0.0,0.0,"Arc(ACBus(212, Barkla, true, ACBusTypes.PQ = 1, -0.09168807972671891, 1.01921, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(23.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(213, Barlow, true, ACBusTypes.PV = 2, -0.05611408078086969, 1.03752, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(24.0, 265.0, 54.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.048,"(from = 0.05, to = 0.05)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B9,true,0.0,0.0,"Arc(ACBus(205, Bain, true, ACBusTypes.PQ = 1, -0.23757194885344055, 1.03603, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(21.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(210, Banks, true, ACBusTypes.PQ = 1, -0.23526793970788284, 1.05, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(23.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.023,0.088,"(from = 0.012, to = 0.012)",0.6992892127583322,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C25-2,true,0.0,0.0,"Arc(ACBus(315, Chase, true, ACBusTypes.PV = 2, 0.12306107116301779, 1.043, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(321, Cobb, true, ACBusTypes.PV = 2, 0.21539492271297458, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.049,"(from = 0.0515, to = 0.0515)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C12-1,true,0.0,0.0,"Arc(ACBus(308, Carrel, true, ACBusTypes.PQ = 1, -0.26499107140227146, 1.01056, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(309, Carter, true, ACBusTypes.PQ = 1, -0.18232006072305607, 1.02579, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.043,0.165,"(from = 0.0225, to = 0.0225)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A27,true,0.0,0.0,"Arc(ACBus(116, Asser, true, ACBusTypes.PV = 2, 0.13210903253828157, 1.04565, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(16.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(117, Aston, true, ACBusTypes.PQ = 1, 0.19956391373276003, 1.04783, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C21,true,0.0,0.0,"Arc(ACBus(312, Caxton, true, ACBusTypes.PQ = 1, -0.0723620489193857, 1.019, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(323, Comte, true, ACBusTypes.PV = 2, 0.15046692920953353, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.012,0.097,"(from = 0.1015, to = 0.1015)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A34,true,0.0,0.0,"Arc(ACBus(121, Attlee, true, ACBusTypes.PV = 2, 0.22840303616101354, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(122, Aubrey, true, ACBusTypes.PV = 2, 0.33073605352857105, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.009,0.068,"(from = 0.071, to = 0.071)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B32-1,true,0.0,0.0,"Arc(ACBus(219, Bede, true, ACBusTypes.PQ = 1, 0.07351902768053274, 1.03946, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(25.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(220, Beethoven, true, ACBusTypes.PQ = 1, 0.09886400094629359, 1.0438, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(25.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.005,0.04,"(from = 0.0415, to = 0.0415)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A12-1,true,0.0,0.0,"Arc(ACBus(108, Alger, true, ACBusTypes.PQ = 1, -0.23997701256268875, 1.01024, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(12.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(109, Ali, true, ACBusTypes.PQ = 1, -0.15385496235350493, 1.0261, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(13.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.043,0.165,"(from = 0.0225, to = 0.0225)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B33-1,true,0.0,0.0,"Arc(ACBus(220, Beethoven, true, ACBusTypes.PQ = 1, 0.09886400094629359, 1.0438, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(25.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(223, Bloch, true, ACBusTypes.PV = 2, 0.125340994764898, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(25.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.022,"(from = 0.023, to = 0.023)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B1,true,0.0,0.0,"Arc(ACBus(201, Bach, true, ACBusTypes.PV = 2, -0.18657098464921346, 1.04841, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(21.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(202, Bacon, true, ACBusTypes.PV = 2, -0.1877810214196211, 1.04844, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(22.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.014,"(from = 0.2305, to = 0.2305)",0.6992892127583322,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A4,true,0.0,0.0,"Arc(ACBus(102, Adams, true, ACBusTypes.PV = 2, -0.1364470483941135, 1.04783, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(12.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(104, Agricola, true, ACBusTypes.PQ = 1, -0.18441393222667365, 1.01765, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(11.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()))",0.033,0.127,"(from = 0.017, to = 0.017)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C26,true,0.0,0.0,"Arc(ACBus(315, Chase, true, ACBusTypes.PV = 2, 0.12306107116301779, 1.043, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(324, Curie, true, ACBusTypes.PQ = 1, 0.02279504722859714, 1.01046, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(36.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.007,0.052,"(from = 0.0545, to = 0.0545)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B4,true,0.0,0.0,"Arc(ACBus(202, Bacon, true, ACBusTypes.PV = 2, -0.1877810214196211, 1.04844, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(22.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(204, Bailey, true, ACBusTypes.PQ = 1, -0.23535398444000616, 1.0189, (min = 0.95, max = 1.05), 138.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(21.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()))",0.033,0.127,"(from = 0.017, to = 0.017)",0.6992892127583322,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A22,true,0.0,0.0,"Arc(ACBus(113, Arne, true, ACBusTypes.REF = 3, 0.0, 1.03943, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(14.0, 265.0, 54.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(123, Austen, true, ACBusTypes.PV = 2, 0.15805998412033487, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.011,0.087,"(from = 0.091, to = 0.091)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A31-1,true,0.0,0.0,"Arc(ACBus(118, Astor, true, ACBusTypes.PV = 2, 0.21859498389650622, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(121, Attlee, true, ACBusTypes.PV = 2, 0.22840303616101354, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A33-2,true,0.0,0.0,"Arc(ACBus(120, Attila, true, ACBusTypes.PQ = 1, 0.13509895607987307, 1.04399, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(123, Austen, true, ACBusTypes.PV = 2, 0.15805998412033487, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(15.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.022,"(from = 0.023, to = 0.023)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A8,true,0.0,0.0,"Arc(ACBus(104, Agricola, true, ACBusTypes.PQ = 1, -0.18441393222667365, 1.01765, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(11.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(109, Ali, true, ACBusTypes.PQ = 1, -0.15385496235350493, 1.0261, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(13.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.027,0.104,"(from = 0.014, to = 0.014)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A31-2,true,0.0,0.0,"Arc(ACBus(118, Astor, true, ACBusTypes.PV = 2, 0.21859498389650622, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(121, Attlee, true, ACBusTypes.PV = 2, 0.22840303616101354, 1.05, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(17.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.026,"(from = 0.0275, to = 0.0275)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C33-2,true,0.0,0.0,"Arc(ACBus(320, Clive, true, ACBusTypes.PQ = 1, 0.1256129170623587, 1.04389, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(323, Comte, true, ACBusTypes.PV = 2, 0.15046692920953353, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.022,"(from = 0.023, to = 0.023)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C10,true,0.0,0.0,"Arc(ACBus(306, Camus, true, ACBusTypes.PQ = 1, -0.26078796949761873, 1.0326, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(310, Caruso, true, ACBusTypes.PQ = 1, -0.2146959183475509, 1.05, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.014,0.061,"(from = 1.2295, to = 1.2295)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
CB-1,true,0.0,0.0,"Arc(ACBus(318, Clark, true, ACBusTypes.PV = 2, 0.19796606480255924, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(223, Bloch, true, ACBusTypes.PV = 2, 0.125340994764898, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(25.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.013,0.104,"(from = 0.109, to = 0.109)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A26,true,0.0,0.0,"Arc(ACBus(115, Arthur, true, ACBusTypes.PV = 2, 0.13892297247099264, 1.04335, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(16.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(124, Avery, true, ACBusTypes.PQ = 1, 0.04159800285910765, 1.01155, (min = 0.95, max = 1.05), 230.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(16.0, 611.0, 123.0, Dict{String, Any}()), Dict{String, Any}()))",0.007,0.052,"(from = 0.0545, to = 0.0545)",11.063332199994486,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
A6,true,0.0,0.0,"Arc(ACBus(103, Adler, true, ACBusTypes.PQ = 1, -0.1258539470320591, 1.01085, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(11.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(109, Ali, true, ACBusTypes.PQ = 1, -0.15385496235350493, 1.0261, (min = 0.95, max = 1.05), 138.0, Area(PJM, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(13.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()))",0.031,0.119,"(from = 0.016, to = 0.016)",3.8721662699980706,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C33-1,true,0.0,0.0,"Arc(ACBus(320, Clive, true, ACBusTypes.PQ = 1, 0.1256129170623587, 1.04389, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(323, Comte, true, ACBusTypes.PV = 2, 0.15046692920953353, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(35.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.003,0.022,"(from = 0.023, to = 0.023)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
B21,true,0.0,0.0,"Arc(ACBus(212, Barkla, true, ACBusTypes.PQ = 1, -0.09168807972671891, 1.01921, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(23.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(223, Bloch, true, ACBusTypes.PV = 2, 0.125340994764898, 1.05, (min = 0.95, max = 1.05), 230.0, Area(NYISO, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(25.0, 309.0, 63.0, Dict{String, Any}()), Dict{String, Any}()))",0.012,0.097,"(from = 0.1015, to = 0.1015)",1.9979691793095204,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C29,true,0.0,0.0,"Arc(ACBus(317, Chuhsi, true, ACBusTypes.PQ = 1, 0.18053999941894702, 1.04785, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(318, Clark, true, ACBusTypes.PV = 2, 0.19796606480255924, 1.05, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(37.0, 333.0, 68.0, Dict{String, Any}()), Dict{String, Any}()))",0.002,0.014,"(from = 0.015, to = 0.015)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C4,true,0.0,0.0,"Arc(ACBus(302, Cabot, true, ACBusTypes.PV = 2, -0.1646020017555852, 1.04864, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(32.0, 529.0, 108.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(304, Caine, true, ACBusTypes.PQ = 1, -0.21271793670626568, 1.01785, (min = 0.95, max = 1.05), 138.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(31.0, 433.0, 88.0, Dict{String, Any}()), Dict{String, Any}()))",0.033,0.127,"(from = 0.017, to = 0.017)",0.6785445172435975,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
C18,true,0.0,0.0,"Arc(ACBus(311, Cary, true, ACBusTypes.PQ = 1, -0.10019394183631328, 1.0283, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(33.0, 370.0, 76.0, Dict{String, Any}()), Dict{String, Any}()), ACBus(313, Cecil, true, ACBusTypes.PV = 2, -0.04215197036369065, 1.03802, (min = 0.95, max = 1.05), 230.0, Area(ISONE, 0.0, 0.0, 0.0, Dict{String, Any}()), LoadZone(34.0, 265.0, 54.0, Dict{String, Any}()), Dict{String, Any}()))",0.006,0.048,"(from = 0.05, to = 0.05)",1.9386986206959926,"(min = -1.5707963267948966, max = 1.5707963267948966)","(from = 0.0, to = 0.0)"
